Campaign,Ad Group,Keyword,Match Type,Status
LB | AF | Lewensdekking,Lewensdekking kwotasie,lewensdekking kwotasie,Phrase,Enabled
LB | AF | Voertuigversekering,Voertuigversekering,motor en huis versekering,Phrase,Enabled
LB | AF | Voertuigversekering,Voertuigversekering,motor en huis versekering,Exact,Enabled
LB | AF | Voertuigversekering,Voertuigversekering,korttermyn versekering kwotasie,Phrase,Enabled
LB | AF | Voertuigversekering,Voertuigversekering,korttermyn versekering kwotasie,Exact,Enabled
LB | AF | Voertuigversekering,Voertuigversekering,bakkie versekering,Phrase,Enabled
LB | AF | Voertuigversekering,Voertuigversekering,bakkie versekering,Exact,Enabled
LB | AF | Voertuigversekering,Voertuigversekering,voertuigversekering pryse,Phrase,Enabled
LB | AF | Voertuigversekering,Voertuigversekering,voertuigversekering pryse,Exact,Enabled
LB | EN | Long-tail Life Cover,How much cover,how much life cover do i need,Phrase,Enabled
LB | EN | Long-tail Life Cover,How much cover,how much life cover do i need,Exact,Enabled
LB | EN | Long-tail Life Cover,How much cover,how much life insurance do i need south africa,Phrase,Enabled
LB | EN | Long-tail Life Cover,How much cover,how much life insurance do i need south africa,Exact,Enabled
LB | EN | Long-tail Life Cover,How much cover,life cover calculator south africa,Phrase,Enabled
LB | EN | Long-tail Life Cover,How much cover,life cover calculator south africa,Exact,Enabled
LB | EN | Long-tail Life Cover,How much cover,life insurance calculator sa,Phrase,Enabled
LB | EN | Long-tail Life Cover,How much cover,life insurance calculator sa,Exact,Enabled
LB | EN | Long-tail Life Cover,How much cover,how much life cover should i have,Phrase,Enabled
LB | EN | Long-tail Life Cover,How much cover,how much life cover should i have,Exact,Enabled
LB | EN | Long-tail Life Cover,How much cover,calculate life cover needed,Phrase,Enabled
LB | EN | Long-tail Life Cover,How much cover,calculate life cover needed,Exact,Enabled
LB | EN | Long-tail Life Cover,How much cover,life cover amount calculator,Phrase,Enabled
LB | EN | Long-tail Life Cover,How much cover,life cover amount calculator,Exact,Enabled
LB | EN | Long-tail Life Cover,How much cover,how much cover for my family,Phrase,Enabled
LB | EN | Long-tail Life Cover,How much cover,how much cover for my family,Exact,Enabled
LB | EN | Medical Aid,Medical aid comparison,compare medical aid south africa,Phrase,Enabled
LB | EN | Medical Aid,Medical aid comparison,compare medical aid south africa,Exact,Enabled
LB | EN | Medical Aid,Medical aid comparison,medical aid quotes south africa,Phrase,Enabled
LB | EN | Medical Aid,Medical aid comparison,medical aid quotes south africa,Exact,Enabled
LB | EN | Medical Aid,Medical aid comparison,cheapest medical aid south africa,Phrase,Enabled
LB | EN | Medical Aid,Medical aid comparison,cheapest medical aid south africa,Exact,Enabled
LB | EN | Medical Aid,Medical aid comparison,gap cover quotes,Phrase,Enabled
LB | EN | Medical Aid,Medical aid comparison,gap cover quotes,Exact,Enabled
LB | EN | Medical Aid,Medical aid comparison,medical aid comparison,Phrase,Enabled
LB | EN | Medical Aid,Medical aid comparison,medical aid comparison,Exact,Enabled
LB | EN | Medical Aid,Medical aid comparison,which medical aid is best,Phrase,Enabled
LB | EN | Medical Aid,Medical aid comparison,which medical aid is best,Exact,Enabled
LB | EN | Medical Aid,Medical aid comparison,affordable medical aid sa,Phrase,Enabled
LB | EN | Medical Aid,Medical aid comparison,affordable medical aid sa,Exact,Enabled
LB | EN | Medical Aid,Medical aid comparison,medical aid broker near me,Phrase,Enabled
LB | EN | Medical Aid,Medical aid comparison,medical aid broker near me,Exact,Enabled
